input,expected_output
"{""user_context"": ""Make a process diagram depicting the system"", ""context_metadata"": {""urls"": [], ""tags"": [""process"", ""the system""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.94, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Create an email draft for the client about meeting summary"", ""context_metadata"": {""urls"": [], ""tags"": [""the client"", ""meeting summary""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.87, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Generate a process diagram of our system"", ""context_metadata"": {""urls"": [], ""tags"": [""process"", ""our system""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.88, ""reasoning"": ""User wants to create a diagram, which directly maps to CREATE_DIAGRAMS task type.""}"
"{""user_context"": ""Write down the main takeaways from the call"", ""context_metadata"": {""urls"": [], ""tags"": [""takeaways"", ""the call""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.94, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Compare prices for laptops across different stores"", ""context_metadata"": {""urls"": [], ""tags"": [""laptops"", ""stores""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.93, ""reasoning"": ""Task requires comparing prices across different retailers or vendors.""}"
"{""user_context"": ""Plot a map of office locations in the region"", ""context_metadata"": {""urls"": [""https://www.portal.com/docs""], ""tags"": [""plot"", ""the region""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.86, ""reasoning"": ""Task requires location mapping functionality.""}"
"{""user_context"": ""Compare prices for cameras across different stores"", ""context_metadata"": {""urls"": [], ""tags"": [""cameras"", ""stores""]}, ""caller"": null}","{""task_type"": ""COMPARE_SHOPPING_PRICES"", ""confidence"": 0.92, ""reasoning"": ""User explicitly wants price comparison functionality.""}"
"{""user_context"": ""Fill in the survey form with my details automatically"", ""context_metadata"": {""urls"": [], ""tags"": [""survey"", ""details""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.94, ""reasoning"": ""Request involves auto-populating form fields with user information.""}"
"{""user_context"": ""Draft a message to my manager regarding the issue"", ""context_metadata"": {""urls"": [], ""tags"": [""my manager"", ""the issue""]}, ""caller"": null}","{""task_type"": ""DRAFT_EMAIL"", ""confidence"": 0.89, ""reasoning"": ""User explicitly requests drafting or writing an email.""}"
"{""user_context"": ""Create a geographic visualization of store locations"", ""context_metadata"": {""urls"": [], ""tags"": [""visualization"", ""store locations""]}, ""caller"": null}","{""task_type"": ""CREATE_LOCATION_MAP"", ""confidence"": 0.92, ""reasoning"": ""Request involves creating geographic visualizations or location maps.""}"
"{""user_context"": ""Get the product table from the website"", ""context_metadata"": {""urls"": [], ""tags"": [""product"", ""the website""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.89, ""reasoning"": ""Request involves extracting structured table data from a webpage or source.""}"
"{""user_context"": ""Make a checklist for marketing campaign"", ""context_metadata"": {""urls"": [""https://portal.example.com/admin""], ""tags"": [""checklist"", ""marketing campaign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.92, ""reasoning"": ""Task requires creating todo items or task management entries.""}"
"{""user_context"": ""Save this article to my personal knowledge base"", ""context_metadata"": {""urls"": [], ""tags"": [""personal"", ""this article""]}, ""caller"": null}","{""task_type"": ""ADD_TO_KNOWLEDGE_BASE"", ""confidence"": 0.92, ""reasoning"": ""Request involves saving or storing content in a knowledge management system.""}"
"{""user_context"": ""Auto-populate the contact form on the portal"", ""context_metadata"": {""urls"": [""https://app.example.com/dashboard""], ""tags"": [""contact"", ""the portal""]}, ""caller"": null}","{""task_type"": ""FILL_FORM_AUTOMATICALLY"", ""confidence"": 0.89, ""reasoning"": ""User explicitly requests automatic form filling functionality.""}"
"{""user_context"": ""Export database data into a spreadsheet format"", ""context_metadata"": {""urls"": [], ""tags"": [""export"", ""database""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TO_SHEET"", ""confidence"": 0.87, ""reasoning"": ""User explicitly mentions creating a spreadsheet or organizing data into tabular format.""}"
"{""user_context"": ""Jot down important points about technical details"", ""context_metadata"": {""urls"": [], ""tags"": [""important"", ""technical details""]}, ""caller"": null}","{""task_type"": ""NOTE_TAKING"", ""confidence"": 0.85, ""reasoning"": ""Task requires capturing and storing notes or documentation.""}"
"{""user_context"": ""Get the inventory table from the website"", ""context_metadata"": {""urls"": [], ""tags"": [""inventory"", ""the website""]}, ""caller"": null}","{""task_type"": ""EXTRACT_DATA_TABLE"", ""confidence"": 0.92, ""reasoning"": ""Request involves extracting structured table data from a webpage or source.""}"
"{""user_context"": ""Add action items for marketing campaign"", ""context_metadata"": {""urls"": [], ""tags"": [""action"", ""marketing campaign""]}, ""caller"": null}","{""task_type"": ""CREATE_TODO"", ""confidence"": 0.9, ""reasoning"": ""User explicitly requests creating a todo list or adding tasks.""}"
"{""user_context"": ""Make a sequence diagram illustrating the architecture"", ""context_metadata"": {""urls"": [], ""tags"": [""sequence"", ""the architecture""]}, ""caller"": null}","{""task_type"": ""CREATE_DIAGRAMS"", ""confidence"": 0.91, ""reasoning"": ""User explicitly mentions creating or drawing a diagram.""}"
